,league,date,home,away,home_goals,away_goals,result,home_odds,draw_odds,away_odds
2092,Liga Profesional ,22/06/2017,Belgrano,Newells Old Boys,2.0,1.0,H,3.91,3.19,2.19
2093,Liga Profesional ,22/06/2017,Lanus,Huracan,2.0,0.0,H,1.95,3.27,4.81
2094,Liga Profesional ,22/06/2017,Sarmiento Junin,Patronato,1.0,3.0,A,3.06,3.14,2.63
2095,Liga Profesional ,22/06/2017,Godoy Cruz,Estudiantes L.P.,0.0,2.0,A,3.13,3.23,2.52
2096,Liga Profesional ,22/06/2017,Tigre,Atl. Rafaela,1.0,0.0,H,1.88,3.73,4.45
2097,Liga Profesional ,23/06/2017,Atl. Tucuman,Velez Sarsfield,1.0,1.0,D,2.54,3.3,3.0
2098,Liga Profesional ,23/06/2017,Union de Santa Fe,Independiente,0.0,3.0,A,5.74,3.62,1.74
2099,Liga Profesional ,24/06/2017,Defensa y Justicia,Gimnasia L.P.,1.0,0.0,H,1.61,3.96,6.61
2100,Liga Profesional ,24/06/2017,San Martin S.J.,Rosario Central,1.0,1.0,D,3.03,3.36,2.52
2101,Liga Profesional ,25/06/2017,Boca Juniors,Union de Santa Fe,2.0,1.0,H,1.24,6.55,14.67
2102,Liga Profesional ,25/06/2017,Atl. Rafaela,Sarmiento Junin,2.0,3.0,A,1.7,4.07,5.27
2103,Liga Profesional ,25/06/2017,Banfield,Racing Club,1.0,3.0,A,2.2,3.47,3.54
2104,Liga Profesional ,26/06/2017,Colon Santa FE,River Plate,0.0,0.0,D,3.17,3.58,2.32
2105,Liga Profesional ,26/06/2017,Arsenal Sarandi,Tigre,2.0,1.0,H,2.52,3.27,3.1
2106,Liga Profesional ,26/06/2017,Patronato,Atl. Tucuman,1.0,1.0,D,2.49,3.27,3.15
2107,Liga Profesional ,27/06/2017,Aldosivi,Olimpo Bahia Blanca,0.0,3.0,A,2.66,3.0,3.17
2108,Liga Profesional ,27/06/2017,Huracan,Belgrano,0.0,0.0,D,1.97,3.08,5.2
2109,Liga Profesional ,27/06/2017,Velez Sarsfield,Temperley,0.0,0.0,D,2.62,3.21,3.02
2110,Liga Profesional ,27/06/2017,Estudiantes L.P.,Quilmes,1.0,0.0,H,1.2,7.3,19.2
2111,Liga Profesional ,27/06/2017,Newells Old Boys,Godoy Cruz,0.0,2.0,A,1.92,3.57,4.47
2112,Liga Profesional ,28/06/2017,Independiente,Lanus,1.0,1.0,D,1.57,4.03,7.09
2113,Liga Profesional ,28/06/2017,Talleres Cordoba,San Lorenzo,1.0,1.0,D,3.27,3.5,2.31
2114,Liga Profesional,25/08/2017,Tigre,Velez Sarsfield,0.0,3.0,A,2.54,3.27,3.07
2115,Liga Profesional,26/08/2017,Banfield,Belgrano,2.0,1.0,H,2.09,3.3,4.1
